form_no,set_code,dm_code,running_number,reference_no,indent,item_in_taxonomy,item_in_taxonomy_en,parent_code,parent_code_operation,formating,data_type,symbol,financial_statement_type,fs_category,description_th,description_en,opposite_code_short,mandatory_mapping,zone_code,warning_mapping_msg_th,warning_mapping_msg_en,meaning_of_taxonomy,historical_name
F6,100000,T1,1,1,0,สินทรัพย์,Assets,No,,B Fix,T,,BS_A,สินทรัพย์,,,,,,,,สินทรัพย์ ประกอบด้วยเลขอ้างอิงที่ 2 ถึง 107,
F6,110000,T2,2,2,0,สินทรัพย์หมุนเวียน,Current Assets,No,,B Fix,T,,BS_A,สินทรัพย์หมุนเวียน,,,,,,,,สินทรัพย์หมุนเวียน ประกอบด้วยเลขอ้างอิงที่ 3 ถึง 51,
F6,110100,1,3,3,0,เงินสดและรายการเทียบเท่าเงินสด,Cash And Cash Equivalents,119999,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,"- รวมถึง เงินฝากประจำอายุไม่เกิน 3 เดือน
- แสดงผลใน Company Highlight & Fact Sheet
- ใช้ในการคำนวณ Enterprise Value: EV, Quick Ratio","- Include short-term fixed deposits which terms are less than or equal to 3 months
- Displayed in the Company Highlight & Fact Sheet
- For calculation of Enterprise Value: EV, Quick Ratio",,,,,,"หมายถึง รายการดังต่อไปนี้
1. เงินสด หมายถึง เงินสดในมือและเงินฝากธนาคารที่ต้องจ่ายคืนเมื่อทวงถาม เช่น
1.1 ธนบัตรและเหรียญกษาปณ์ที่บริษัทมีอยู่ รวมทั้งเงินสดย่อย ธนาณัติตั๋วแลกเงินไปรษณีย์
1.2 เงินฝากธนาคารกระแสรายวันและออมทรัพย์ ทั้งนี้เงินสดไม่รวมถึงเงินฝากธนาคารประเภทจ่ายคืนเมื่อสิ้นระยะเวลา (เงินฝากประจำ)
1.3 เช็คที่ถึงกำหนดชำระแต่ยังมิได้นำฝาก เช็คเดินทาง ดราฟต์ของธนาคาร

2. รายการเทียบเท่าเงินสด หมายถึง เงินลงทุนระยะสั้นที่มีสภาพคล่องสูง (ภายในระยะเวลา 3 เดือน) ซึ่งพร้อมที่จะเปลี่ยนเป็นเงินสดในจำนวนที่ทราบได้และมีความเสี่ยงที่ไม่มีนัยสำคัญต่อการเปลี่ยนแปลงในมูลค่า เช่น เงินลงทุนในตั๋วแลกเงิน / ตั๋วสัญญาใช้เงิน ซึ่งมีอายุไม่เกิน 3 เดือนนับจากวันที่ได้มา เงินฝากประจำที่มีอายุไม่เกิน 3 เดือน รวมถึงเงินฝากที่มีข้อจำกัดในการใช้ที่ข้อจำกัดในการใช้นั้นไม่เป็นนัยสำคัญ",
F6,110300,3,4,4,0,เงินฝากสถาบันการเงินที่มีข้อจำกัดในการใช้ - หมุนเวียน,Restricted Deposits - Current,119999,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,รวมถึง เงินฝากที่ใช้เป็นหลักประกันเงินกู้ยืมซึ่งไม่สามารถนำไปใช้ได้อย่างไม่มีเงื่อนไข,Include deposits used as a collateral for loans which cannot be withdrawn unconditionally,,,,,,หมายถึง เงินฝากสถาบันการเงินทุกประเภทที่มีข้อจำกัดในการนำไปใช้ เช่น เงินฝากประจำหรือเงินฝากออมทรัพย์ที่ใช้เป็นหลักประกันเงินกู้ซึ่งไม่สามารถนำไปใช้ได้อย่างไม่มีเงื่อนไข ซึ่งข้อจำกัดในการใช้ดังกล่าวคาดว่าจะหมดไปภายใน 12 เดือนนับจากวันสิ้นรอบระยะเวลารายงาน นอกเหนือจากเลขอ้างอิงที่ 3,เงินฝากสถาบันการเงินที่มีข้อจำกัดในการเบิกใช้ หรือ ภายในหนึ่งปี
F6,111600,20,5,5,0,เงินลงทุนระยะสั้น - สุทธิ,Short-Term Investments - Net,119999,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,"- ไม่รวมถึงเงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า
- แสดงผลใน Company Highlight & Fact Sheet 
- ใช้ในการคำนวณ Quick Ratio","- Exclude investment in subsidiaries, associates and joint ventures
- Displayed in the Company Highlight & Fact Sheet
- For calculation of Quick Ratio",,,,,,"หมายถึง เงินลงทุนในตราสารหนี้และตราสารทุนต่าง ๆ ซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือน ทั้งนี้ ไม่รวมถึงเงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า โดยแสดงมูลค่าสุทธิหลังจากบวกหรือหักค่าเผื่อการปรับมูลค่ายุติธรรม และ/หรือ ค่าเผื่อผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้นของเงินลงทุน 

เงินลงทุนตามรายการดังกล่าวข้างต้น รวมถึงเงินลงทุนในตราสารดังต่อไปนี้
1. ตราสารหนี้ (Debt securities) ประกอบด้วยรายการดังต่อไปนี้
1.1 หลักทรัพย์รัฐบาลและรัฐวิสาหกิจ (Government and state enterprises securities) หมายถึง ตั๋วเงินคลัง พันธบัตร หรือตราสารอื่นที่ออกโดยรัฐบาลไทยและรัฐบาลต่างประเทศ องค์การบริหารราชการส่วนท้องถิ่นและจังหวัด หุ้นกู้ พันธบัตรหรือตราสารอื่นที่องค์การของรัฐ รัฐวิสาหกิจ หรือนิติบุคคลที่มีกฎหมายเฉพาะจัดตั้งขึ้นเป็นผู้ออก
1.2 ตราสารหนี้ภาคเอกชน (Private enterprises debt securities) หมายถึง หุ้นกู้ ตั๋วแลกเงิน ตั๋วสัญญาใช้เงิน และตราสารแห่งหนี้อื่นใดที่ออกโดยสถาบันการเงินหรือธุรกิจอื่นทั้งในและต่างประเทศที่มีลักษณะเป็นการระดมทุนหรือคล้ายหุ้นกู้ตามที่สำนักงานคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์กำหนด
1.3 ตราสารหนี้อื่น (Other debt securities) หมายถึง เงินฝากประจำและบัตรเงินฝากที่มีอายุเกิน 3 เดือน แต่ไม่เกิน 12 เดือนนับจากวันที่ได้มา และตราสารหนี้อื่นที่มิได้กล่าวไว้ในรายการข้างต้น

2. ตราสารทุน (Equity securities) ประกอบด้วยรายการดังต่อไปนี้
2.1 ตราสารทุนในความต้องการของตลาด (Marketable equity securities) หมายถึง หลักทรัพย์ที่มีการซื้อขายในตลาดซื้อขายคล่องทั้งในประเทศและต่างประเทศ
2.2 ตราสารทุนที่ไม่อยู่ในความต้องการของตลาด (Non-marketable equity securities) หมายถึง หลักทรัพย์ที่ไม่มีการซื้อขายในตลาดซื้อขายคล่องทั้งในประเทศและต่างประเทศ
2.3 หลักทรัพย์อื่น (Other equity securities) หมายถึง ตราสารทุนอื่นที่มิได้กล่าวไว้ในรายการข้างต้น

3. เครื่องมือทางการเงินผสม (Compound financial instruments) ที่มีลักษณะของทั้งตราสารหนี้และตราสารทุน เช่น หุ้นกู้แปลงสภาพ ที่ผู้ถือหุ้นกู้มีสิทธิในการแปลงสภาพจากหนี้ (หุ้นกู้) เป็นทุน (ตราสารทุนของกิจการผู้ออก) ได้

เงินลงทุนระยะสั้น - สุทธิ ประกอบด้วยเลขอ้างอิงที่ 6 ถึง 10",สินทรัพย์ทางการเงินหมุนเวียนอื่น หรือ เงินลงทุนระยะสั้นในตราสารหนี้ หรือ สินทรัพย์ทางการเงินอื่น หรือ เงินลงทุนชั่วคราว หรือ เงินลงทุนระยะสั้น หรือ สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรม
F6,111610,22,6,6,1,เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุน,Investment In Debt Instruments Measured At Fair Value Through Profit Or Loss,111600,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,รวมถึงเงินลงทุนในตราสารหนี้เพื่อค้า หรือเงินลงทุนในตราสารหนี้ที่ไม่ผ่านเงื่อนไข SPPI test,Include investments in debt instruments held for trading and investments in debt instruments that do not meet the conditions of SPPI test,,,,,,หมายถึง เงินลงทุนในตราสารหนี้ซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือนที่ถือไว้เพื่อค้า (Held for trading) หรือเงินลงทุนในตราสารหนี้ที่ไม่ผ่านเงื่อนไขการจ่ายชำระเงินต้นและดอกเบี้ย (Solely payments of principal and interest หรือ SPPI test) คือกระแสเงินสดที่บริษัทได้รับไม่ได้มีเพียงองค์ประกอบของเงินต้นและดอกเบี้ยเท่านั้น แต่มีองค์ประกอบอื่นด้วย เช่น หุ้นกู้แปลงสภาพ ตราสารหนี้ที่ผลตอบแทนอ้างอิงจากดัชนีหุ้น เป็นต้น หรือเงินลงทุนในตราสารหนี้ที่บริษัทเลือกที่จะวัดมูลค่าด้วยวิธีมูลค่ายุติธรรมผ่านกำไรขาดทุน เช่น เพื่อขจัดหรือลดความไม่สอดคล้องกันในการวัดมูลค่าของสินทรัพย์ทางการเงินและหนี้สินทางการเงินของรายการที่เกี่ยวข้องกัน (Accounting mismatch) ,สินทรัพย์ทางการเงินหมุนเวียนอื่น หรือ เงินลงทุนระยะสั้นในตราสารหนี้
F6,111620,24,7,7,1,เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น - สุทธิ,Investment In Debt Instruments Measured At Fair Value Through Other Comprehensive Income - Net,111600,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,,,,,,,,หมายถึง เงินลงทุนในตราสารหนี้ซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือนที่ถือไว้เพื่อทั้งรับชำระกระแสเงินสดจากเงินต้นและดอกเบี้ยและถือไว้เผื่อขาย (Held to collect and sell) ซึ่งตราสารหนี้ที่บริษัทไปลงทุนดังกล่าวจะต้องผ่านเงื่อนไขการจ่ายชำระด้วยเงินต้นและดอกเบี้ย (Solely payments of principal and interest หรือ SPPI test) คือ เงินสดที่จะได้รับชำระจะต้องมีเพียงองค์ประกอบของเงินต้นและดอกเบี้ยเท่านั้นและถือไว้เผื่อขาย โดยแสดงมูลค่าสุทธิหลังจากหักค่าเผื่อผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้นของเงินลงทุน ,
F6,111630,26,8,8,1,เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยราคาทุนตัดจำหน่าย - สุทธิ,Investment In Debt Instruments Measured At Amortised Cost - Net,111600,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,เฉพาะเงินลงทุนในตราสารหนี้ที่บริษัทถือไว้เพื่อรับชำระเงินต้นและดอกเบี้ย ที่ผ่าน SPPI test เท่านั้น,"Only the investments in debt instruments held by the company to collect contractual cash flows arising from principal and interest, and must meet the conditions of SPPI test",,,,,,หมายถึง เงินลงทุนในตราสารหนี้ซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือนที่ถือไว้เพื่อรับชำระกระแสเงินสดจากเงินต้นและดอกเบี้ย (Held to collect) ซึ่งตราสารหนี้ที่บริษัทไปลงทุนดังกล่าวจะต้องผ่านเงื่อนไขการจ่ายชำระด้วยเงินต้นและดอกเบี้ย (Solely payments of principal and interest หรือ SPPI test) คือ เงินสดที่จะได้รับชำระจะต้องมีเพียงองค์ประกอบของเงินต้นและดอกเบี้ยเท่านั้น โดยแสดงมูลค่าสุทธิหลังจากหักค่าเผื่อผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้นของเงินลงทุน ,
F6,111640,28,9,9,1,เงินลงทุนในตราสารทุนที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุน,Investment In Equity Instruments Measured At Fair Value Through Profit Or Loss,111600,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,เฉพาะเงินลงทุนในตราสารทุนที่บริษัทไม่มีอำนาจในการควบคุม และไม่มีอิทธิพลอย่างเป็นสาระสำคัญ และไม่มีอำนาจควบคุมร่วม,Only the investments in equity instruments held by the company that has no control and significant influence and joint control.,,,,,,หมายถึง เงินลงทุนในตราสารทุนซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือนที่บริษัทไม่มีอำนาจในการควบคุม และไม่มีอิทธิพลอย่างเป็นสาระสำคัญ และไม่มีอำนาจควบคุมร่วม โดยบริษัทเลือกวัดมูลค่าเงินลงทุนในตราสารทุนดังกล่าวด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุน,
F6,111650,30,10,10,1,เงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,Investment In Equity Instruments Measured At Fair Value Through Other Comprehensive Income,111600,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,เฉพาะเงินลงทุนในตราสารทุนที่บริษัทไม่มีอำนาจในการควบคุม และไม่มีอิทธิพลอย่างเป็นสาระสำคัญ และไม่มีอำนาจควบคุมร่วม,Only the investments in equity instruments held by the company that has no control and significant influence and joint control.,,,,,,หมายถึง เงินลงทุนในตราสารทุนซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือนที่บริษัทไม่มีอำนาจในการควบคุม และไม่มีอิทธิพลอย่างเป็นสาระสำคัญ และไม่มีอำนาจควบคุมร่วม โดยบริษัทเลือกวัดมูลค่าเงินลงทุนในตราสารทุนดังกล่าวด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,
